dataset,instance,T,J,I,cplex_budget_used,cplex_Z,cplex_Z_1h,cplex_bound,cplex_gap_pct,cplex_status,cplex_mip_600_Z,cplex_mip_3600_Z,cplex_mip_10800_Z,cplex_mip_10800_bound,cplex_mip_10800_gap_pct,rf_fo_600_Z,rf_mip_600_Z,rf_fo_3600_Z,rf_mip_3600_Z,ils2_Z_best,ils2_Z_mean,ils2_Z_std,ils1_Z_best,BKS,bks_source,gap_ils2_vs_bound_pct,gap_ils2_vs_cplex_primal_pct,gap_ils2_vs_BKS_pct,gap_cplex_vs_BKS_pct,gap_rf_fo_600_vs_BKS_pct,gap_rf_mip_600_vs_BKS_pct,gap_mip_600_vs_BKS_pct,gap_rf_fo_3600_vs_BKS_pct,gap_rf_mip_3600_vs_BKS_pct,gap_mip_3600_vs_BKS_pct,ils2_wins,ties
Real order book,REAL_1,19,159,50,mip_10800s,11442.625,,11442.625,0.0,OptimalGlobal,11442.625,11442.625,11442.625,11442.625,0.0,11442.625,11442.625,11442.625,,11442.625,11487.995,7.912558583248475,,11442.625,MAT_mip_600s | 600s | experiments\matheuristics\results_production\real\REAL_1_mip_seed1_b600.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,False,True
5X,IncT5x_3,95,159,50,3h,53570.461,54387.75,51461.815644,3.936209,Integer,55824.522,,,,,63266.34,56597.058,54844.669,,64032.779,68758.8061,2713.0686451883826,,53570.461,CPLEX22_3h | 10800s | experiments\GAMSPy\5X\results_3horas\IncT5x_3.json,24.42774938793996,19.530013004741548,19.530013004741548,0.0,18.099301030842337,5.6497497753472645,4.207656529220449,2.3785645600473715,,,False,False
5X,IncT5x_4,95,159,50,3h,141043.753,141718.617,138997.565845,1.450746,Integer,149151.022,,,,,144547.581,143247.126,142135.253,,151274.675,162985.088,8140.834261769706,,141043.753,CPLEX22_3h | 10800s | experiments\GAMSPy\5X\results_3horas\IncT5x_4.json,8.832607305289448,7.253722183640414,7.253722183640414,0.0,2.4842135333707467,1.5621911308613523,5.748052520979075,0.7738733384384632,,,False,False
5X,IncT5x_5,95,159,50,3h,46138.191,46154.55,45181.148493,2.074296,Integer,47532.05,,,,,54964.989,47755.687,46686.65,,65031.97,73037.76930000001,4945.523569844733,,46138.191,CPLEX22_3h | 10800s | experiments\GAMSPy\5X\results_3horas\IncT5x_5.json,43.936071058652985,40.95041134144163,40.95041134144163,0.0,19.131218213561954,3.5057638042202375,3.021052559256179,1.1887310449601343,,,False,False
5X,IncT5x_6,95,159,50,3h,80682.046,80612.087,77922.383059,3.420418,Integer,81217.962,,,,,83941.55,81249.906,81625.778,,94255.685,99032.0577,2850.257651554098,,80612.087,CPLEX22_1h | 3600s | experiments\GAMSPy\5X\results\IncT5x_6.json,20.96098874264794,16.823617735226986,16.92500282246755,0.08678475226674452,4.130228014069408,0.7912200561188835,0.7515932443232738,1.2574925643594939,,,False,False
5X,IncT5x_7,95,159,50,3h,22166.183,23105.003,18546.29353,16.330685,Integer,24141.136,,,,,24172.648,26103.062,23034.683,,32669.616,38965.4109,5049.998457465144,87045.064,22166.183,CPLEX22_3h | 10800s | experiments\GAMSPy\5X\results_3horas\IncT5x_7.json,76.15172512585593,47.384942188738584,47.384942188738584,0.0,9.051919313307122,17.760743922397467,8.909756812889244,3.91813060462417,,,False,False
5X,IncT5x_8,95,159,50,3h,177536.272,177696.017,175931.402325,0.903967,Integer,177899.482,,,,,182388.706,177995.563,180758.497,,191392.854,206137.3237,11936.071331927464,267526.018,177536.272,CPLEX22_3h | 10800s | experiments\GAMSPy\5X\results_3horas\IncT5x_8.json,8.788341064000548,7.804930138445171,7.804930138445171,0.0,2.733207104855738,0.2587026272580498,0.20458354560919914,1.814967140911918,,,False,False
5X,IncT5x_9,95,159,50,3h,28653.896,29151.91,24011.330431,16.202214,Integer,28791.293,,,,,28381.253,30166.525,29538.702,,36024.753,41176.6498,2403.3496317980776,69121.466,28381.253,MAT_rf_fo_600s | 600s | experiments\matheuristics\results_production\b600\IncT5x_9_rf_fo_seed1_b600.json,50.032307054048054,25.723751492641686,26.931510035867678,0.9606446903524662,0.0,6.290321290606869,1.4447565088123517,4.0782167017079916,,,False,False
8X,IncT8x_2,152,159,50,mip_10800s,128054.148,,119114.37535,6.981244,Integer,141748.933,131839.464,128054.148,119114.37535,6.981244,135940.96,159071.315,135271.5,131246.445,,,,,128054.148,MAT_mip_10800s | 10800s | experiments\matheuristics\results_scale_8x10x_mip10800\IncT8x_2_mip_seed1_b10800.json,,,,0.0,6.158966439728286,24.22191509173135,10.694526662267894,5.636171973124994,2.4929274450367713,2.9560276329354096,False,False
8X,IncT8x_3,152,159,50,mip_10800s,67597.088,,56443.211709,16.500528,Integer,72423.653,71839.478,67597.088,56443.211709,16.500528,80768.327,74801.486,77759.647,68783.65,,,,,67597.088,MAT_mip_10800s | 10800s | experiments\matheuristics\results_scale_8x10x_mip10800\IncT8x_3_mip_seed1_b10800.json,,,,0.0,19.48492071137739,10.657852598620817,7.140196630955467,15.034018921051738,1.7553448456241054,6.27599520263358,False,False
8X,IncT8x_4,152,159,50,mip_10800s,159561.553,,146138.917624,8.412199,Integer,177731.634,166073.216,159561.553,146138.917624,8.412199,165236.028,160681.797,159958.731,158113.714,,,,,158113.714,MAT_rf_mip_3600s | 3600s | experiments\matheuristics\results_scale_8x10x\IncT8x_4_rf_mip_seed1_b3600.json,,,,0.9156947638330772,4.504551705110148,1.6242000361840745,12.407475293382825,1.1668924556411295,0.0,5.03403645303024,False,False
