dataset,n,n_cplex_optimal,cplex_gap_mean_pct,gap_ils2_vs_bound_mean_pct,gap_ils2_vs_bound_median_pct,gap_ils2_vs_primal_mean_pct,gap_ils2_vs_primal_median_pct,rf_fo_600_gap_mean_pct,rf_fo_3600_gap_mean_pct,ils2_wins,ties,cplex_wins
S,10.0,10.0,0.0,1.3585579163140167,0.35567755435218396,1.3585579163140167,0.35567755435218396,0.050731495575936605,0.050731495575936605,0.0,1.0,9.0
2X,10.0,10.0,0.0,2.86691664755463,2.2751092606103733,2.86691664755463,2.2751092606103733,0.4525833268727822,0.4525833268727822,0.0,0.0,10.0
3X,10.0,0.0,1.6897081,14.355235840679793,9.342444744670601,12.236645316390133,8.516274090177765,1.611188627699122,1.0347052049602705,0.0,0.0,10.0
4X,10.0,0.0,3.9113028,23.61700921295067,17.09941419055955,17.51833678296751,14.167470167513109,2.748910395999957,1.647876414917316,0.0,0.0,10.0
5X,10.0,0.0,7.2061177999999995,37.93603620015987,27.51395757014204,24.433127455963074,20.460872434475753,7.785397088395898,1.5443787630933454,0.0,0.0,10.0
8X,5.0,0.0,10.9444174,,,,,14.677473746144347,5.184299702437166,0.0,0.0,0.0
10X,5.0,0.0,18.6697084,,,,,20.51985011639072,5.866173160833656,0.0,0.0,0.0
