dataset,n,Z_gamma0_mean,Z_gamma0001_mean,delta_abs_mean,delta_abs_median,delta_pct_mean,delta_pct_median,gamma0_gap_mean_pct,gamma0001_gap_mean_pct
2X,10,58200.5,63780.172399999996,5579.672399999999,5613.3415,19.156543491313656,13.12196326114577,0.0,0.0
3X,10,58200.5,66812.4813,8611.981299999998,8794.955999999998,25.09144221872678,18.878086581088507,0.0,1.6897081
4X,10,58200.5,69841.9165,11641.416500000001,11802.50850000001,29.77512589297383,24.08212873384014,0.0,3.9113028
5X,10,58200.5,73402.6709,15202.170900000001,15585.324499999999,34.192643599530456,29.241351735101397,0.0,7.2061177999999995
