instance,seed,fo_random_windows,first_20_windows,window_log,sequences_differ
IncT3x_3,2,646,1-20; 2-21; 22-41; 42-57; 1-20; 3-22; 23-42; 43-57; 1-20; 3-22; 23-42; 43-57; 1-20; 12-31; 32-51; 52-57; 1-20; 6-25; 26-45; 46-57,experiments\matheuristics\results_production\c_seeds\window_logs\IncT3x_3_rf_fo_seed2_b3600_windows.parquet,True
IncT3x_3,3,629,1-20; 8-27; 28-47; 48-57; 1-20; 19-38; 39-57; 1-20; 18-37; 38-57; 1-20; 5-24; 25-44; 45-57; 1-20; 12-31; 32-51; 52-57; 1-20; 20-39,experiments\matheuristics\results_production\c_seeds\window_logs\IncT3x_3_rf_fo_seed3_b3600_windows.parquet,True
