method,dataset,instance,n_runs,Z_best,Z_mean,Z_std,Z_worst,t2b_mean,total_time_mean,time_budget_s,bound,gap_solver_pct,model_status,T,J,I,source_path,raw_method
CPLEX22_1h,5X,IncT5x_6,1.0,80612.087,80612.087,0.0,80612.087,,3617.8654,3600.0,77810.495571,3.475399,Integer,95.0,159.0,50.0,,
CPLEX22_1h,5X,IncT5x_7,1.0,23105.003,23105.003,0.0,23105.003,,3616.7087,3600.0,17937.048854,22.367252,Integer,95.0,159.0,50.0,,
CPLEX22_1h,5X,IncT5x_8,1.0,177696.017,177696.017,0.0,177696.017,,3611.3963,3600.0,175331.514404,1.330645,Integer,95.0,159.0,50.0,,
CPLEX22_1h,5X,IncT5x_9,1.0,29151.91,29151.91,0.0,29151.91,,3604.266,3600.0,24011.330431,17.633766,Integer,95.0,159.0,50.0,,
CPLEX22_1h,Real,Ale_1,1.0,86264.683,86264.683,0.0,86264.683,,30.748,3600.0,86264.683,0.0,OptimalGlobal,25.0,160.0,50.0,,
CPLEX22_1h,Real,Ale_10,1.0,5639.568,5639.568,0.0,5639.568,,2.2695,3600.0,5639.568,0.0,OptimalGlobal,19.0,159.0,50.0,,
CPLEX22_1h,Real,Ale_2,1.0,99950.709,99950.709,0.0,99950.709,,2.07,3600.0,99950.709,0.0,OptimalGlobal,19.0,159.0,50.0,,
CPLEX22_1h,Real,Ale_3,1.0,39695.173,39695.173,0.0,39695.173,,2.3564,3600.0,39695.173,0.0,OptimalGlobal,19.0,159.0,50.0,,
CPLEX22_1h,Real,Ale_4,1.0,127725.976,127725.976,0.0,127725.976,,2.179,3600.0,127725.976,0.0,OptimalGlobal,19.0,159.0,50.0,,
CPLEX22_1h,Real,Ale_5,1.0,35426.141,35426.141,0.0,35426.141,,2.4521,3600.0,35426.141,0.0,OptimalGlobal,19.0,159.0,50.0,,
CPLEX22_1h,Real,Ale_6,1.0,66677.463,66677.463,0.0,66677.463,,1.6706,3600.0,66677.463,0.0,OptimalGlobal,19.0,159.0,50.0,,
CPLEX22_1h,Real,Ale_7,1.0,10568.618,10568.618,0.0,10568.618,,35.066,3600.0,10568.618,0.0,OptimalGlobal,19.0,159.0,50.0,,
CPLEX22_1h,Real,Ale_8,1.0,160911.938,160911.938,0.0,160911.938,,1.5858,3600.0,160911.938,0.0,OptimalGlobal,19.0,159.0,50.0,,
CPLEX22_1h,Real,Ale_9,1.0,15627.917,15627.917,0.0,15627.917,,2.9262,3600.0,15627.917,0.0,OptimalGlobal,19.0,159.0,50.0,,
CPLEX22_3h,2X,IncT2X_1,1.0,40179.544,40179.544,0.0,40179.544,,209.6151,10800.0,40179.544,0.0,OptimalGlobal,38.0,159.0,50.0,,
CPLEX22_3h,2X,IncT2X_10,1.0,8335.23,8335.23,0.0,8335.23,,173.104,10800.0,8335.23,0.0,OptimalGlobal,38.0,159.0,50.0,,
CPLEX22_3h,2X,IncT2X_2,1.0,105100.906,105100.906,0.0,105100.906,,50.8178,10800.0,105100.906,0.0,OptimalGlobal,38.0,159.0,50.0,,
CPLEX22_3h,2X,IncT2X_3,1.0,42938.57,42938.57,0.0,42938.57,,1261.6051,10800.0,42938.57,0.0,OptimalGlobal,38.0,159.0,50.0,,
CPLEX22_3h,2X,IncT2X_4,1.0,131571.0,131571.0,0.0,131571.0,,59.5806,10800.0,131571.0,0.0,OptimalGlobal,38.0,159.0,50.0,,
CPLEX22_3h,2X,IncT2X_5,1.0,38183.994,38183.994,0.0,38183.994,,317.7187,10800.0,38183.994,0.0,OptimalGlobal,38.0,159.0,50.0,,
CPLEX22_3h,2X,IncT2X_6,1.0,70335.169,70335.169,0.0,70335.169,,436.6009,10800.0,70335.169,0.0,OptimalGlobal,38.0,159.0,50.0,,
CPLEX22_3h,2X,IncT2X_7,1.0,13506.887,13506.887,0.0,13506.887,,1730.3252,10800.0,13506.887,0.0,OptimalGlobal,38.0,159.0,50.0,,
CPLEX22_3h,2X,IncT2X_8,1.0,169018.311,169018.311,0.0,169018.311,,75.5205,10800.0,169018.311,0.0,OptimalGlobal,38.0,159.0,50.0,,
CPLEX22_3h,2X,IncT2X_9,1.0,18632.113,18632.113,0.0,18632.113,,2349.812,10800.0,18632.113,0.0,OptimalGlobal,38.0,159.0,50.0,,
CPLEX22_3h,3X,IncT3x_1,1.0,43424.391,43424.391,0.0,43424.391,,10805.0957,10800.0,42979.18296,1.025249,Integer,57.0,159.0,50.0,,
CPLEX22_3h,3X,IncT3x_10,1.0,10914.378,10914.378,0.0,10914.378,,10907.7603,10800.0,10501.363105,3.784136,Integer,57.0,159.0,50.0,,
CPLEX22_3h,3X,IncT3x_2,1.0,108645.892,108645.892,0.0,108645.892,,10864.5355,10800.0,108415.298656,0.212243,Integer,57.0,159.0,50.0,,
CPLEX22_3h,3X,IncT3x_3,1.0,46154.492,46154.492,0.0,46154.492,,10827.5544,10800.0,45689.573082,1.00731,Integer,57.0,159.0,50.0,,
CPLEX22_3h,3X,IncT3x_4,1.0,134477.501,134477.501,0.0,134477.501,,10874.8819,10800.0,134218.018056,0.192956,Integer,57.0,159.0,50.0,,
CPLEX22_3h,3X,IncT3x_5,1.0,40735.322,40735.322,0.0,40735.322,,10867.2381,10800.0,40503.384026,0.569378,Integer,57.0,159.0,50.0,,
CPLEX22_3h,3X,IncT3x_6,1.0,73458.775,73458.775,0.0,73458.775,,10851.9817,10800.0,73092.751498,0.498271,Integer,57.0,159.0,50.0,,
CPLEX22_3h,3X,IncT3x_7,1.0,16591.924,16591.924,0.0,16591.924,,10825.7499,10800.0,15564.893466,6.189942,Integer,57.0,159.0,50.0,,
CPLEX22_3h,3X,IncT3x_8,1.0,171942.718,171942.718,0.0,171942.718,,10815.2854,10800.0,171765.74598,0.102925,Integer,57.0,159.0,50.0,,
CPLEX22_3h,3X,IncT3x_9,1.0,21779.42,21779.42,0.0,21779.42,,10823.2492,10800.0,21057.503957,3.314671,Integer,57.0,159.0,50.0,,
CPLEX22_3h,4X,IncT4x_1,1.0,46880.699,46880.699,0.0,46880.699,,10822.9058,10800.0,45448.028958,3.055991,Integer,76.0,159.0,50.0,,
CPLEX22_3h,4X,IncT4x_10,1.0,13375.333,13375.333,0.0,13375.333,,10816.4055,10800.0,12515.283732,6.430115,Integer,76.0,159.0,50.0,,
CPLEX22_3h,4X,IncT4x_2,1.0,111902.298,111902.298,0.0,111902.298,,10820.7675,10800.0,110607.975981,1.156654,Integer,76.0,159.0,50.0,,
CPLEX22_3h,4X,IncT4x_3,1.0,49468.889,49468.889,0.0,49468.889,,10820.5461,10800.0,48583.051269,1.790697,Integer,76.0,159.0,50.0,,
CPLEX22_3h,4X,IncT4x_4,1.0,137435.102,137435.102,0.0,137435.102,,10823.4508,10800.0,136586.18608,0.617685,Integer,76.0,159.0,50.0,,
CPLEX22_3h,4X,IncT4x_5,1.0,43396.022,43396.022,0.0,43396.022,,10828.0287,10800.0,42873.136315,1.204916,Integer,76.0,159.0,50.0,,
CPLEX22_3h,4X,IncT4x_6,1.0,76811.29,76811.29,0.0,76811.29,,10834.9441,10800.0,75649.648206,1.512332,Integer,76.0,159.0,50.0,,
CPLEX22_3h,4X,IncT4x_7,1.0,19759.389,19759.389,0.0,19759.389,,10807.8333,10800.0,16244.250381,17.789713,Integer,76.0,159.0,50.0,,
CPLEX22_3h,4X,IncT4x_8,1.0,174700.915,174700.915,0.0,174700.915,,10864.9922,10800.0,174178.666981,0.298938,Integer,76.0,159.0,50.0,,
CPLEX22_3h,4X,IncT4x_9,1.0,24689.228,24689.228,0.0,24689.228,,10879.5067,10800.0,23391.565429,5.255987,Integer,76.0,159.0,50.0,,
CPLEX22_3h,5X,IncT5x_1,1.0,50531.718,50531.718,0.0,50531.718,,10806.5069,10800.0,47662.707147,5.677644,Integer,95.0,159.0,50.0,,
CPLEX22_3h,5X,IncT5x_10,1.0,16964.09,16964.09,0.0,16964.09,,10805.3634,10800.0,13779.688617,18.771425,Integer,95.0,159.0,50.0,,
CPLEX22_3h,5X,IncT5x_2,1.0,116740.099,116740.099,0.0,116740.099,,10809.4927,10800.0,112895.17708,3.293574,Integer,95.0,159.0,50.0,,
CPLEX22_3h,5X,IncT5x_3,1.0,53570.461,53570.461,0.0,53570.461,,10807.9498,10800.0,51461.815644,3.936209,Integer,95.0,159.0,50.0,,
CPLEX22_3h,5X,IncT5x_4,1.0,141043.753,141043.753,0.0,141043.753,,10864.5403,10800.0,138997.565845,1.450746,Integer,95.0,159.0,50.0,,
CPLEX22_3h,5X,IncT5x_5,1.0,46138.191,46138.191,0.0,46138.191,,10820.3022,10800.0,45181.148493,2.074296,Integer,95.0,159.0,50.0,,
CPLEX22_3h,5X,IncT5x_6,1.0,80682.046,80682.046,0.0,80682.046,,10833.1417,10800.0,77922.383059,3.420418,Integer,95.0,159.0,50.0,,
CPLEX22_3h,5X,IncT5x_7,1.0,22166.183,22166.183,0.0,22166.183,,10821.2188,10800.0,18546.29353,16.330685,Integer,95.0,159.0,50.0,,
CPLEX22_3h,5X,IncT5x_8,1.0,177536.272,177536.272,0.0,177536.272,,10838.6635,10800.0,175931.402325,0.903967,Integer,95.0,159.0,50.0,,
CPLEX22_3h,5X,IncT5x_9,1.0,28653.896,28653.896,0.0,28653.896,,10808.8709,10800.0,24011.330431,16.202214,Integer,95.0,159.0,50.0,,
CPLEX22_3h,Real,Ale_1,1.0,86264.683,86264.683,0.0,86264.683,,28.6846,10800.0,86264.683,0.0,OptimalGlobal,25.0,160.0,50.0,,
CPLEX22_3h,Real,Ale_10,1.0,5639.568,5639.568,0.0,5639.568,,2.0483,10800.0,5639.568,0.0,OptimalGlobal,19.0,159.0,50.0,,
CPLEX22_3h,Real,Ale_2,1.0,99950.709,99950.709,0.0,99950.709,,1.9968,10800.0,99950.709,0.0,OptimalGlobal,19.0,159.0,50.0,,
CPLEX22_3h,Real,Ale_3,1.0,39695.173,39695.173,0.0,39695.173,,2.3118,10800.0,39695.173,0.0,OptimalGlobal,19.0,159.0,50.0,,
CPLEX22_3h,Real,Ale_4,1.0,127725.976,127725.976,0.0,127725.976,,2.1456,10800.0,127725.976,0.0,OptimalGlobal,19.0,159.0,50.0,,
CPLEX22_3h,Real,Ale_5,1.0,35426.141,35426.141,0.0,35426.141,,2.4799,10800.0,35426.141,0.0,OptimalGlobal,19.0,159.0,50.0,,
CPLEX22_3h,Real,Ale_6,1.0,66677.463,66677.463,0.0,66677.463,,1.7404,10800.0,66677.463,0.0,OptimalGlobal,19.0,159.0,50.0,,
CPLEX22_3h,Real,Ale_7,1.0,10568.618,10568.618,0.0,10568.618,,32.0508,10800.0,10568.618,0.0,OptimalGlobal,19.0,159.0,50.0,,
CPLEX22_3h,Real,Ale_8,1.0,160911.938,160911.938,0.0,160911.938,,1.5735,10800.0,160911.938,0.0,OptimalGlobal,19.0,159.0,50.0,,
CPLEX22_3h,Real,Ale_9,1.0,15627.917,15627.917,0.0,15627.917,,2.6867,10800.0,15627.917,0.0,OptimalGlobal,19.0,159.0,50.0,,
GRASP_v1,2X,IncT2X_1,10.0,56781.252,62677.7226,3323.335973060509,66475.511,646.0492999999999,1801.4345999999998,1900.0,,,,38.0,159.0,52.0,,
GRASP_v1,2X,IncT2X_10,10.0,18195.091,21414.6766,2058.6563271376367,24979.508,1018.6387000000001,1801.2947,1900.0,,,,38.0,159.0,52.0,,
GRASP_v1,2X,IncT2X_2,10.0,111931.515,123386.55759999999,7444.928387299642,137245.701,546.8518,1801.4072,1900.0,,,,38.0,159.0,52.0,,
GRASP_v1,2X,IncT2X_3,10.0,57318.583,61098.42959999999,2683.738175063332,65055.363,498.3612999999999,1802.3162,1900.0,,,,38.0,159.0,52.0,,
GRASP_v1,2X,IncT2X_4,10.0,150481.479,153253.42690000002,2189.122969218061,157090.757,1129.2889999999998,1801.4616999999998,1900.0,,,,38.0,159.0,52.0,,
GRASP_v1,2X,IncT2X_5,10.0,47329.026,50914.06540000001,2322.741231214733,54135.7,845.6054,1801.8079000000002,1900.0,,,,38.0,159.0,52.0,,
GRASP_v1,2X,IncT2X_6,10.0,70769.257,79110.74280000002,3692.389007356856,83166.137,691.4417000000001,1801.9693,1900.0,,,,38.0,159.0,52.0,,
