method,dataset,instance,run_id,seed,Z_at_cutoff,selected_time_s,selected_tag,final_objective,time_to_best_s,total_time_s,overrun_s,source_run_hard_stop_compliant,value_found_within_budget,comparison_eligible,T_json,J_json,I_json,iterations,source_path,paper_note
ILS_v2,S,S_2,9,9,102435.75,161.397,GRASP_warmup,101993.548,881.116,3600.546,3000.546,False,True,True,19,160,50,2613,experiments/GRASP/results_ils_v2/Ale_2_run09.json,
ILS_v2,S,S_2,10,10,102201.771,148.09,GRASP_warmup,100009.609,726.603,3600.56,3000.56,False,True,True,19,160,50,2602,experiments/GRASP/results_ils_v2/Ale_2_run10.json,
ILS_v2,S,S_3,1,1,43494.142,338.583,GRASP_warmup,42682.859,1410.185,3602.483,3002.483,False,True,True,19,160,50,2576,experiments/GRASP/results_ils_v2/Ale_3_run01.json,
ILS_v2,S,S_3,2,2,44466.476,495.872,GRASP_warmup,41527.787,3009.262,3600.722,3000.722,False,True,True,19,160,50,2590,experiments/GRASP/results_ils_v2/Ale_3_run02.json,
ILS_v2,S,S_3,3,3,43270.83,479.285,GRASP_warmup,42948.656,757.445,3601.586,3001.586,False,True,True,19,160,50,2622,experiments/GRASP/results_ils_v2/Ale_3_run03.json,
ILS_v2,S,S_3,4,4,43067.93,490.342,GRASP_warmup,41566.839,991.001,3600.122,3000.122,False,True,True,19,160,50,2597,experiments/GRASP/results_ils_v2/Ale_3_run04.json,
ILS_v2,S,S_3,5,5,43002.983,71.117,GRASP_warmup,41735.839,3043.545,3600.113,3000.113,False,True,True,19,160,50,2580,experiments/GRASP/results_ils_v2/Ale_3_run05.json,
ILS_v2,S,S_3,6,6,44535.798,17.953,GRASP_warmup,44535.798,17.953,3600.256,3000.256,False,True,True,19,160,50,2393,experiments/GRASP/results_ils_v2/Ale_3_run06.json,
ILS_v2,S,S_3,7,7,42718.013,44.642,GRASP_warmup,40763.571,766.292,3600.379,3000.379,False,True,True,19,160,50,2446,experiments/GRASP/results_ils_v2/Ale_3_run07.json,
ILS_v2,S,S_3,8,8,43687.221,13.681,GRASP_warmup,41824.056,1738.807,3601.792,3001.792,False,True,True,19,160,50,2599,experiments/GRASP/results_ils_v2/Ale_3_run08.json,
