grade,dataset,instance,method,seed,budget_s,Z_final,construction_used,rf_wall_time_s,wall_time_total,window_log_rows,early_stop_reason,status
B,3X,IncT3x_2,rf+fo,1,600.0,108818.537,rf,78.536,591.904,101,,ok
B,3X,IncT3x_2,rf+mip,1,600.0,108645.892,rf,73.222,606.431,11,,ok
B,3X,IncT3x_3,mip,1,600.0,46211.617,mip,0.0,604.692,0,,ok
B,3X,IncT3x_3,rf+fo,1,600.0,48237.316,rf,73.136,591.689,98,,ok
B,3X,IncT3x_3,rf+mip,1,600.0,46154.492,rf,71.613,612.957,11,,ok
B,3X,IncT3x_4,mip,1,600.0,134477.501,mip,0.0,605.541,0,,ok
B,3X,IncT3x_4,rf+fo,1,600.0,136015.451,rf,81.661,592.734,99,,ok
B,3X,IncT3x_4,rf+mip,1,600.0,134585.826,rf,80.64,605.24,11,,ok
B,3X,IncT3x_5,mip,1,600.0,40735.322,mip,0.0,604.986,0,,ok
B,3X,IncT3x_5,rf+fo,1,600.0,41988.239,rf,75.984,595.318,77,,ok
B,3X,IncT3x_5,rf+mip,1,600.0,40747.722,rf,78.328,605.856,11,,ok
B,3X,IncT3x_6,mip,1,600.0,73632.475,mip,0.0,604.258,0,,ok
B,3X,IncT3x_6,rf+fo,1,600.0,73798.45,rf,79.559,593.614,106,,ok
B,3X,IncT3x_6,rf+mip,1,600.0,73650.95,rf,79.273,605.266,11,,ok
B,3X,IncT3x_7,mip,1,600.0,17035.756,mip,0.0,604.273,0,,ok
B,3X,IncT3x_7,rf+fo,1,600.0,16577.444,rf,78.565,592.52,70,,ok
B,3X,IncT3x_7,rf+mip,1,600.0,16470.891,rf,78.661,607.397,11,,ok
B,3X,IncT3x_8,mip,1,600.0,171950.123,mip,0.0,604.949,0,,ok
B,3X,IncT3x_8,rf+fo,1,600.0,174281.637,rf,66.175,593.976,111,,ok
B,3X,IncT3x_8,rf+mip,1,600.0,171986.913,rf,64.856,605.64,11,,ok
B,3X,IncT3x_9,mip,1,600.0,21831.245,mip,0.0,604.211,0,,ok
B,3X,IncT3x_9,rf+fo,1,600.0,21799.577,rf,85.477,593.816,91,,ok
