method,dataset,instance,run_id,seed,Z,bound,gap_solver_pct,time_to_best_s,total_time_s,time_budget_s,model_status,iterations,T,J,I,source_path,raw_method,construction_used,Z_construction,rf_wall_time_s
CPLEX22_1h,5X,IncT5x_3,1,,54387.75,51303.43758,5.670969,,3603.6831,3600.0,Integer,5200588.0,95.0,159.0,50.0,,,,,
CPLEX22_1h,5X,IncT5x_4,1,,141718.617,138795.686305,2.062489,,3607.317,3600.0,Integer,8704803.0,95.0,159.0,50.0,,,,,
CPLEX22_1h,5X,IncT5x_5,1,,46154.55,45124.846777,2.23099,,3612.9862,3600.0,Integer,6657149.0,95.0,159.0,50.0,,,,,
CPLEX22_1h,5X,IncT5x_6,1,,80612.087,77810.495571,3.475399,,3617.8654,3600.0,Integer,10531808.0,95.0,159.0,50.0,,,,,
CPLEX22_1h,5X,IncT5x_7,1,,23105.003,17937.048854,22.367252,,3616.7087,3600.0,Integer,10811727.0,95.0,159.0,50.0,,,,,
CPLEX22_1h,5X,IncT5x_8,1,,177696.017,175331.514404,1.330645,,3611.3963,3600.0,Integer,10252455.0,95.0,159.0,50.0,,,,,
CPLEX22_1h,5X,IncT5x_9,1,,29151.91,24011.330431,17.633766,,3604.266,3600.0,Integer,4846974.0,95.0,159.0,50.0,,,,,
CPLEX22_1h,Real,Ale_1,1,,86264.683,86264.683,0.0,,30.748,3600.0,OptimalGlobal,612942.0,25.0,160.0,50.0,,,,,
CPLEX22_1h,Real,Ale_10,1,,5639.568,5639.568,0.0,,2.2695,3600.0,OptimalGlobal,17145.0,19.0,159.0,50.0,,,,,
CPLEX22_1h,Real,Ale_2,1,,99950.709,99950.709,0.0,,2.07,3600.0,OptimalGlobal,19859.0,19.0,159.0,50.0,,,,,
CPLEX22_1h,Real,Ale_3,1,,39695.173,39695.173,0.0,,2.3564,3600.0,OptimalGlobal,68131.0,19.0,159.0,50.0,,,,,
CPLEX22_1h,Real,Ale_4,1,,127725.976,127725.976,0.0,,2.179,3600.0,OptimalGlobal,29280.0,19.0,159.0,50.0,,,,,
CPLEX22_1h,Real,Ale_5,1,,35426.141,35426.141,0.0,,2.4521,3600.0,OptimalGlobal,84998.0,19.0,159.0,50.0,,,,,
CPLEX22_1h,Real,Ale_6,1,,66677.463,66677.463,0.0,,1.6706,3600.0,OptimalGlobal,15681.0,19.0,159.0,50.0,,,,,
CPLEX22_1h,Real,Ale_7,1,,10568.618,10568.618,0.0,,35.066,3600.0,OptimalGlobal,1366694.0,19.0,159.0,50.0,,,,,
CPLEX22_1h,Real,Ale_8,1,,160911.938,160911.938,0.0,,1.5858,3600.0,OptimalGlobal,2718.0,19.0,159.0,50.0,,,,,
CPLEX22_1h,Real,Ale_9,1,,15627.917,15627.917,0.0,,2.9262,3600.0,OptimalGlobal,130939.0,19.0,159.0,50.0,,,,,
CPLEX22_3h,2X,IncT2X_1,1,,40179.544,40179.544,0.0,,209.6151,10800.0,OptimalGlobal,4732849.0,38.0,159.0,50.0,,,,,
CPLEX22_3h,2X,IncT2X_10,1,,8335.23,8335.23,0.0,,173.104,10800.0,OptimalGlobal,3819606.0,38.0,159.0,50.0,,,,,
CPLEX22_3h,2X,IncT2X_2,1,,105100.906,105100.906,0.0,,50.8178,10800.0,OptimalGlobal,650202.0,38.0,159.0,50.0,,,,,
CPLEX22_3h,2X,IncT2X_3,1,,42938.57,42938.57,0.0,,1261.6051,10800.0,OptimalGlobal,16114173.0,38.0,159.0,50.0,,,,,
CPLEX22_3h,2X,IncT2X_4,1,,131571.0,131571.0,0.0,,59.5806,10800.0,OptimalGlobal,652340.0,38.0,159.0,50.0,,,,,
CPLEX22_3h,2X,IncT2X_5,1,,38183.994,38183.994,0.0,,317.7187,10800.0,OptimalGlobal,6237882.0,38.0,159.0,50.0,,,,,
CPLEX22_3h,2X,IncT2X_6,1,,70335.169,70335.169,0.0,,436.6009,10800.0,OptimalGlobal,6495266.0,38.0,159.0,50.0,,,,,
CPLEX22_3h,2X,IncT2X_7,1,,13506.887,13506.887,0.0,,1730.3252,10800.0,OptimalGlobal,10385332.0,38.0,159.0,50.0,,,,,
CPLEX22_3h,2X,IncT2X_8,1,,169018.311,169018.311,0.0,,75.5205,10800.0,OptimalGlobal,1068627.0,38.0,159.0,50.0,,,,,
CPLEX22_3h,2X,IncT2X_9,1,,18632.113,18632.113,0.0,,2349.812,10800.0,OptimalGlobal,20230480.0,38.0,159.0,50.0,,,,,
CPLEX22_3h,3X,IncT3x_1,1,,43424.391,42979.18296,1.025249,,10805.0957,10800.0,Integer,8309753.0,57.0,159.0,50.0,,,,,
CPLEX22_3h,3X,IncT3x_10,1,,10914.378,10501.363105,3.784136,,10907.7603,10800.0,Integer,51381850.0,57.0,159.0,50.0,,,,,
CPLEX22_3h,3X,IncT3x_2,1,,108645.892,108415.298656,0.212243,,10864.5355,10800.0,Integer,23405922.0,57.0,159.0,50.0,,,,,
CPLEX22_3h,3X,IncT3x_3,1,,46154.492,45689.573082,1.00731,,10827.5544,10800.0,Integer,13905921.0,57.0,159.0,50.0,,,,,
CPLEX22_3h,3X,IncT3x_4,1,,134477.501,134218.018056,0.192956,,10874.8819,10800.0,Integer,51831927.0,57.0,159.0,50.0,,,,,
CPLEX22_3h,3X,IncT3x_5,1,,40735.322,40503.384026,0.569378,,10867.2381,10800.0,Integer,26151896.0,57.0,159.0,50.0,,,,,
CPLEX22_3h,3X,IncT3x_6,1,,73458.775,73092.751498,0.498271,,10851.9817,10800.0,Integer,40140223.0,57.0,159.0,50.0,,,,,
CPLEX22_3h,3X,IncT3x_7,1,,16591.924,15564.893466,6.189942,,10825.7499,10800.0,Integer,18985077.0,57.0,159.0,50.0,,,,,
CPLEX22_3h,3X,IncT3x_8,1,,171942.718,171765.74598,0.102925,,10815.2854,10800.0,Integer,37027459.0,57.0,159.0,50.0,,,,,
CPLEX22_3h,3X,IncT3x_9,1,,21779.42,21057.503957,3.314671,,10823.2492,10800.0,Integer,11202942.0,57.0,159.0,50.0,,,,,
CPLEX22_3h,4X,IncT4x_1,1,,46880.699,45448.028958,3.055991,,10822.9058,10800.0,Integer,7520169.0,76.0,159.0,50.0,,,,,
CPLEX22_3h,4X,IncT4x_10,1,,13375.333,12515.283732,6.430115,,10816.4055,10800.0,Integer,12912575.0,76.0,159.0,50.0,,,,,
CPLEX22_3h,4X,IncT4x_2,1,,111902.298,110607.975981,1.156654,,10820.7675,10800.0,Integer,8919766.0,76.0,159.0,50.0,,,,,
CPLEX22_3h,4X,IncT4x_3,1,,49468.889,48583.051269,1.790697,,10820.5461,10800.0,Integer,9198973.0,76.0,159.0,50.0,,,,,
CPLEX22_3h,4X,IncT4x_4,1,,137435.102,136586.18608,0.617685,,10823.4508,10800.0,Integer,16248693.0,76.0,159.0,50.0,,,,,
CPLEX22_3h,4X,IncT4x_5,1,,43396.022,42873.136315,1.204916,,10828.0287,10800.0,Integer,18675841.0,76.0,159.0,50.0,,,,,
CPLEX22_3h,4X,IncT4x_6,1,,76811.29,75649.648206,1.512332,,10834.9441,10800.0,Integer,31831243.0,76.0,159.0,50.0,,,,,
CPLEX22_3h,4X,IncT4x_7,1,,19759.389,16244.250381,17.789713,,10807.8333,10800.0,Integer,9103457.0,76.0,159.0,50.0,,,,,
CPLEX22_3h,4X,IncT4x_8,1,,174700.915,174178.666981,0.298938,,10864.9922,10800.0,Integer,35683280.0,76.0,159.0,50.0,,,,,
CPLEX22_3h,4X,IncT4x_9,1,,24689.228,23391.565429,5.255987,,10879.5067,10800.0,Integer,36074065.0,76.0,159.0,50.0,,,,,
CPLEX22_3h,5X,IncT5x_1,1,,50531.718,47662.707147,5.677644,,10806.5069,10800.0,Integer,7073180.0,95.0,159.0,50.0,,,,,
CPLEX22_3h,5X,IncT5x_10,1,,16964.09,13779.688617,18.771425,,10805.3634,10800.0,Integer,7290710.0,95.0,159.0,50.0,,,,,
CPLEX22_3h,5X,IncT5x_2,1,,116740.099,112895.17708,3.293574,,10809.4927,10800.0,Integer,5180886.0,95.0,159.0,50.0,,,,,
CPLEX22_3h,5X,IncT5x_3,1,,53570.461,51461.815644,3.936209,,10807.9498,10800.0,Integer,6717104.0,95.0,159.0,50.0,,,,,
CPLEX22_3h,5X,IncT5x_4,1,,141043.753,138997.565845,1.450746,,10864.5403,10800.0,Integer,16941769.0,95.0,159.0,50.0,,,,,
CPLEX22_3h,5X,IncT5x_5,1,,46138.191,45181.148493,2.074296,,10820.3022,10800.0,Integer,12123217.0,95.0,159.0,50.0,,,,,
CPLEX22_3h,5X,IncT5x_6,1,,80682.046,77922.383059,3.420418,,10833.1417,10800.0,Integer,37109020.0,95.0,159.0,50.0,,,,,
CPLEX22_3h,5X,IncT5x_7,1,,22166.183,18546.29353,16.330685,,10821.2188,10800.0,Integer,37663447.0,95.0,159.0,50.0,,,,,
CPLEX22_3h,5X,IncT5x_8,1,,177536.272,175931.402325,0.903967,,10838.6635,10800.0,Integer,32931383.0,95.0,159.0,50.0,,,,,
CPLEX22_3h,5X,IncT5x_9,1,,28653.896,24011.330431,16.202214,,10808.8709,10800.0,Integer,8341367.0,95.0,159.0,50.0,,,,,
CPLEX22_3h,Real,Ale_1,1,,86264.683,86264.683,0.0,,28.6846,10800.0,OptimalGlobal,612942.0,25.0,160.0,50.0,,,,,
CPLEX22_3h,Real,Ale_10,1,,5639.568,5639.568,0.0,,2.0483,10800.0,OptimalGlobal,17145.0,19.0,159.0,50.0,,,,,
CPLEX22_3h,Real,Ale_2,1,,99950.709,99950.709,0.0,,1.9968,10800.0,OptimalGlobal,19859.0,19.0,159.0,50.0,,,,,
CPLEX22_3h,Real,Ale_3,1,,39695.173,39695.173,0.0,,2.3118,10800.0,OptimalGlobal,68131.0,19.0,159.0,50.0,,,,,
CPLEX22_3h,Real,Ale_4,1,,127725.976,127725.976,0.0,,2.1456,10800.0,OptimalGlobal,29280.0,19.0,159.0,50.0,,,,,
CPLEX22_3h,Real,Ale_5,1,,35426.141,35426.141,0.0,,2.4799,10800.0,OptimalGlobal,84998.0,19.0,159.0,50.0,,,,,
CPLEX22_3h,Real,Ale_6,1,,66677.463,66677.463,0.0,,1.7404,10800.0,OptimalGlobal,15681.0,19.0,159.0,50.0,,,,,
CPLEX22_3h,Real,Ale_7,1,,10568.618,10568.618,0.0,,32.0508,10800.0,OptimalGlobal,1366694.0,19.0,159.0,50.0,,,,,
CPLEX22_3h,Real,Ale_8,1,,160911.938,160911.938,0.0,,1.5735,10800.0,OptimalGlobal,2718.0,19.0,159.0,50.0,,,,,
CPLEX22_3h,Real,Ale_9,1,,15627.917,15627.917,0.0,,2.6867,10800.0,OptimalGlobal,130939.0,19.0,159.0,50.0,,,,,
GRASP_v1,2X,IncT2X_1,1,1373158607.0,64178.536,,,1339.526,1800.704,1900.0,,619.0,38.0,159.0,52.0,,,,,
GRASP_v1,2X,IncT2X_1,2,239081664.0,60874.168,,,761.161,1801.077,1900.0,,620.0,38.0,159.0,52.0,,,,,
GRASP_v1,2X,IncT2X_1,3,53710185.0,58520.244,,,298.645,1800.085,1900.0,,608.0,38.0,159.0,52.0,,,,,
GRASP_v1,2X,IncT2X_1,4,1592467582.0,66177.218,,,769.335,1801.108,1900.0,,618.0,38.0,159.0,52.0,,,,,
GRASP_v1,2X,IncT2X_1,5,590620972.0,64340.192,,,135.836,1800.451,1900.0,,611.0,38.0,159.0,52.0,,,,,
GRASP_v1,2X,IncT2X_1,6,525901257.0,63780.516,,,163.467,1802.788,1900.0,,613.0,38.0,159.0,52.0,,,,,
GRASP_v1,2X,IncT2X_1,7,479341424.0,65185.931,,,72.995,1803.682,1900.0,,627.0,38.0,159.0,52.0,,,,,
GRASP_v1,2X,IncT2X_1,8,299655413.0,60463.658,,,1261.786,1802.353,1900.0,,627.0,38.0,159.0,52.0,,,,,
GRASP_v1,2X,IncT2X_1,9,1581559893.0,56781.252,,,198.239,1801.66,1900.0,,623.0,38.0,159.0,52.0,,,,,
GRASP_v1,2X,IncT2X_1,10,220106708.0,66475.511,,,1459.503,1800.438,1900.0,,627.0,38.0,159.0,52.0,,,,,
GRASP_v1,2X,IncT2X_10,1,1453201079.0,20433.055,,,896.981,1800.25,1900.0,,623.0,38.0,159.0,52.0,,,,,
GRASP_v1,2X,IncT2X_10,2,1590571866.0,20333.283,,,1683.524,1800.122,1900.0,,620.0,38.0,159.0,52.0,,,,,
GRASP_v1,2X,IncT2X_10,3,1915941033.0,19902.602,,,1188.695,1803.215,1900.0,,606.0,38.0,159.0,52.0,,,,,
GRASP_v1,2X,IncT2X_10,4,1171165723.0,24979.508,,,420.054,1801.768,1900.0,,607.0,38.0,159.0,52.0,,,,,
GRASP_v1,2X,IncT2X_10,5,186699714.0,22228.545,,,1608.327,1801.831,1900.0,,621.0,38.0,159.0,52.0,,,,,
GRASP_v1,2X,IncT2X_10,6,1268073013.0,23819.664,,,1145.795,1801.963,1900.0,,602.0,38.0,159.0,52.0,,,,,
GRASP_v1,2X,IncT2X_10,7,906070221.0,22578.753,,,425.611,1802.338,1900.0,,616.0,38.0,159.0,52.0,,,,,
GRASP_v1,2X,IncT2X_10,8,68252794.0,19793.324,,,608.563,1800.323,1900.0,,610.0,38.0,159.0,52.0,,,,,
GRASP_v1,2X,IncT2X_10,9,63989048.0,18195.091,,,1765.871,1800.386,1900.0,,620.0,38.0,159.0,52.0,,,,,
GRASP_v1,2X,IncT2X_10,10,201209006.0,21882.941,,,442.966,1800.751,1900.0,,616.0,38.0,159.0,52.0,,,,,
GRASP_v1,2X,IncT2X_2,1,469521478.0,118718.095,,,86.909,1800.896,1900.0,,699.0,38.0,159.0,52.0,,,,,
GRASP_v1,2X,IncT2X_2,2,499635469.0,130316.687,,,78.029,1801.712,1900.0,,720.0,38.0,159.0,52.0,,,,,
GRASP_v1,2X,IncT2X_2,3,1085242217.0,137245.701,,,1214.377,1800.042,1900.0,,710.0,38.0,159.0,52.0,,,,,
GRASP_v1,2X,IncT2X_2,4,1292825379.0,121228.74,,,1475.75,1800.233,1900.0,,723.0,38.0,159.0,52.0,,,,,
GRASP_v1,2X,IncT2X_2,5,56985562.0,120468.68,,,294.212,1802.063,1900.0,,698.0,38.0,159.0,52.0,,,,,
GRASP_v1,2X,IncT2X_2,6,1205264596.0,130648.9,,,88.74,1800.693,1900.0,,704.0,38.0,159.0,52.0,,,,,
GRASP_v1,2X,IncT2X_2,7,427000597.0,124743.856,,,36.223,1802.413,1900.0,,711.0,38.0,159.0,52.0,,,,,
GRASP_v1,2X,IncT2X_2,8,1537640409.0,117819.891,,,174.072,1803.45,1900.0,,709.0,38.0,159.0,52.0,,,,,
